"","id","order_id","order","type","x","y","vol","sam"
"1992",60,10,"type_10","kx",13.3874252194393,1.31402937161804e-05,0.00473760898807601,29
"1993",61,12,"type_12","kr",0,0.000229728088209429,0.00693977817177985,29
"1994",62,12,"type_12","kr",0.387425219439265,0.000229728088209429,0.00693977817177985,29
"1995",63,12,"type_12","kr",2.38742521943927,9.9893906189888e-05,0.00693977817177985,29
"1996",64,12,"type_12","kr",4.38742521943927,9.9893906189888e-05,0.00693977817177985,29
"1997",65,12,"type_12","kr",6.38742521943927,8.50091416803557e-05,0.00693977817177985,29
"1998",66,12,"type_12","kr",12.3874252194393,8.50091416803557e-06,0.00693977817177985,29
"1999",67,12,"type_12","kx",0,1.98581299909907e-05,0.00693977817177985,29
"2000",68,12,"type_12","kx",3.38742521943927,1.98581299909907e-05,0.00693977817177985,29
"2001",69,12,"type_12","kx",5.38742521943927,3.00647848500854e-05,0.00693977817177985,29
"2002",70,12,"type_12","kx",13.3874252194393,3.00647848500854e-05,0.00693977817177985,29
"2003",71,0,"type_0","kr",0,8.4729357204001e-05,NA,29
"2004",72,0,"type_0","kr",10,8.4729357204001e-05,NA,29
"2005",73,0,"type_0","kx",0,6.80289541493763e-05,NA,29
"2006",74,0,"type_0","kx",10,6.80289541493763e-05,NA,29
"2007",1,1,"type_1","kr",0,0.000229231645316543,0.00785398163397448,30
"2008",2,1,"type_1","kr",6.92632351939786,0.000229231645316543,0.00785398163397448,30
"2009",3,1,"type_1","kr",8.92632351939785,9.96969303093837e-05,0.00785398163397448,30
"2010",4,1,"type_1","kr",10.9263235193979,9.96969303093837e-05,0.00785398163397448,30
"2011",5,1,"type_1","kr",12.9263235193979,8.48410033743534e-05,0.00785398163397448,30
"2012",6,1,"type_1","kr",18.9263235193979,8.48410033743534e-06,0.00785398163397448,30
"2013",7,1,"type_1","kx",0,2.30934215191052e-05,0.00785398163397448,30
"2014",8,1,"type_1","kx",9.92632351939785,2.30934215191052e-05,0.00785398163397448,30
"2015",9,1,"type_1","kx",11.9263235193979,4.91927840100764e-05,0.00785398163397448,30
"2016",10,1,"type_1","kx",19.9263235193979,4.91927840100764e-05,0.00785398163397448,30
"2017",11,2,"type_2","kr",0,0.000231282268860793,0.00446173091967513,30
"2018",12,2,"type_2","kr",5.6309019496718,0.000231282268860793,0.00446173091967513,30
"2019",13,2,"type_2","kr",7.6309019496718,0.000100511174675058,0.00446173091967513,30
"2020",14,2,"type_2","kr",9.6309019496718,0.000100511174675058,0.00446173091967513,30
"2021",15,2,"type_2","kr",11.6309019496718,8.55362640918833e-05,0.00446173091967513,30
"2022",16,2,"type_2","kr",17.6309019496718,8.55362640918833e-06,0.00446173091967513,30
"2023",17,2,"type_2","kx",0,1.1696307605324e-05,0.00446173091967513,30
"2024",18,2,"type_2","kx",8.6309019496718,1.1696307605324e-05,0.00446173091967513,30
"2025",19,2,"type_2","kx",10.6309019496718,1.30858543464425e-05,0.00446173091967513,30
"2026",20,2,"type_2","kx",18.6309019496718,1.30858543464425e-05,0.00446173091967513,30
"2027",21,3,"type_3","kr",0,0.000230650251610555,0.00540004207622406,30
"2028",22,3,"type_3","kr",5.6309019496718,0.000230650251610555,0.00540004207622406,30
"2029",23,3,"type_3","kr",7.6309019496718,0.000100260047134523,0.00540004207622406,30
"2030",24,3,"type_3","kr",9.6309019496718,0.000100260047134523,0.00540004207622406,30
"2031",25,3,"type_3","kr",11.6309019496718,8.53217710499181e-05,0.00540004207622406,30
"2032",26,3,"type_3","kr",17.6309019496718,8.53217710499181e-06,0.00540004207622406,30
"2033",27,3,"type_3","kx",0,1.46762079965008e-05,0.00540004207622406,30
"2034",28,3,"type_3","kx",8.6309019496718,1.46762079965008e-05,0.00540004207622406,30
"2035",29,3,"type_3","kx",10.6309019496718,1.47754827927576e-05,0.00540004207622406,30
"2036",30,3,"type_3","kx",18.6309019496718,1.47754827927576e-05,0.00540004207622406,30
"2037",31,4,"type_4","kr",0,0.000230307691084366,0.00594818329923851,30
"2038",32,4,"type_4","kr",5.6309019496718,0.000230307691084366,0.00594818329923851,30
"2039",33,4,"type_4","kr",7.6309019496718,0.000100123997015419,0.00594818329923851,30
"2040",34,4,"type_4","kr",9.6309019496718,0.000100123997015419,0.00594818329923851,30
"2041",35,4,"type_4","kr",11.6309019496718,8.52055908559993e-05,0.00594818329923851,30
"2042",36,4,"type_4","kr",17.6309019496718,8.52055908559993e-06,0.00594818329923851,30
"2043",37,4,"type_4","kx",0,1.64809088369036e-05,0.00594818329923851,30
"2044",38,4,"type_4","kx",8.6309019496718,1.64809088369036e-05,0.00594818329923851,30
"2045",39,4,"type_4","kx",10.6309019496718,1.8132320024707e-05,0.00594818329923851,30
"2046",40,4,"type_4","kx",18.6309019496718,1.8132320024707e-05,0.00594818329923851,30
"2047",41,5,"type_5","kr",0,0.000229665362138748,0.007051966763196,30
"2048",42,5,"type_5","kr",5.6309019496718,0.000229665362138748,0.007051966763196,30
"2049",43,5,"type_5","kr",7.6309019496718,9.98690128868257e-05,0.007051966763196,30
"2050",44,5,"type_5","kr",9.6309019496718,9.98690128868257e-05,0.007051966763196,30
"2051",45,5,"type_5","kr",11.6309019496718,8.49878908652255e-05,0.007051966763196,30
"2052",46,5,"type_5","kr",17.6309019496718,8.49878908652255e-06,0.007051966763196,30
"2053",47,5,"type_5","kx",0,2.02490161110159e-05,0.007051966763196,30
"2054",48,5,"type_5","kx",8.6309019496718,2.02490161110159e-05,0.007051966763196,30
"2055",49,5,"type_5","kx",10.6309019496718,3.19606624307456e-05,0.007051966763196,30
"2056",50,5,"type_5","kx",18.6309019496718,3.19606624307456e-05,0.007051966763196,30
"2057",51,0,"type_0","kr",0,8.48410033743534e-05,NA,30
"2058",52,0,"type_0","kr",10,8.48410033743534e-05,NA,30
"2059",53,0,"type_0","kx",0,4.91927840100764e-05,NA,30
"2060",54,0,"type_0","kx",10,4.91927840100764e-05,NA,30
"2061",1,1,"type_1","kr",0,0.00022989401907198,0.006647610054996,31
"2062",2,1,"type_1","kr",4.30947749179,0.00022989401907198,0.006647610054996,31
"2063",3,1,"type_1","kr",6.30947749179,9.99597643252744e-05,0.006647610054996,31
"2064",4,1,"type_1","kr",8.30947749179,9.99597643252744e-05,0.006647610054996,31
"2065",5,1,"type_1","kr",10.30947749179,8.5065365865077e-05,0.006647610054996,31
"2066",6,1,"type_1","kr",16.30947749179,8.5065365865077e-06,0.006647610054996,31
"2067",7,1,"type_1","kx",0,1.88484203020747e-05,0.006647610054996,31
"2068",8,1,"type_1","kx",7.30947749179,1.88484203020747e-05,0.006647610054996,31
"2069",9,1,"type_1","kx",9.30947749179,2.56755889352684e-05,0.006647610054996,31
"2070",10,1,"type_1","kx",17.30947749179,2.56755889352684e-05,0.006647610054996,31
"2071",11,2,"type_2","kr",0,0.00023208391861365,0.00340585274016151,31
"2072",12,2,"type_2","kr",6.64054367928331,0.00023208391861365,0.00340585274016151,31
"2073",13,2,"type_2","kr",8.64054367928331,0.000100829924424329,0.00340585274016151,31
"2074",14,2,"type_2","kr",10.6405436792833,0.000100829924424329,0.00340585274016151,31
"2075",15,2,"type_2","kr",12.6405436792833,8.58085923653874e-05,0.00340585274016151,31
"2076",16,2,"type_2","kr",18.6405436792833,8.58085923653874e-06,0.00340585274016151,31
"2077",17,2,"type_2","kx",0,8.52133881408292e-06,0.00340585274016151,31
"2078",18,2,"type_2","kx",9.64054367928331,8.52133881408292e-06,0.00340585274016151,31
"2079",19,2,"type_2","kx",11.6405436792833,1.50449475635429e-05,0.00340585274016151,31
"2080",20,2,"type_2","kx",19.6405436792833,1.50449475635429e-05,0.00340585274016151,31
"2081",21,3,"type_3","kr",0,0.000231397449533456,0.00430084034276443,31
"2082",22,3,"type_3","kr",6.64054367928331,0.000231397449533456,0.00430084034276443,31
"2083",23,3,"type_3","kr",8.64054367928331,0.000100556957359909,0.00430084034276443,31
"2084",24,3,"type_3","kr",10.6405436792833,0.000100556957359909,0.00430084034276443,31
"2085",25,3,"type_3","kr",12.6405436792833,8.55753738522474e-05,0.00430084034276443,31
"2086",26,3,"type_3","kr",18.6405436792833,8.55753738522474e-06,0.00430084034276443,31
"2087",27,3,"type_3","kx",0,1.11998854685364e-05,0.00430084034276443,31
"2088",28,3,"type_3","kx",9.64054367928331,1.11998854685364e-05,0.00430084034276443,31
"2089",29,3,"type_3","kx",11.6405436792833,1.31912486042293e-05,0.00430084034276443,31
"2090",30,3,"type_3","kx",19.6405436792833,1.31912486042293e-05,0.00430084034276443,31
"2091",31,4,"type_4","kr",0,0.00023107855848355,0.00475388941933861,31
"2092",32,4,"type_4","kr",6.64054367928331,0.00023107855848355,0.00475388941933861,31
"2093",33,4,"type_4","kr",8.64054367928331,0.000100430215118515,0.00475388941933861,31
"2094",34,4,"type_4","kr",10.6405436792833,0.000100430215118515,0.00475388941933861,31
"2095",35,4,"type_4","kr",12.6405436792833,8.54671089669693e-05,0.00475388941933861,31
"2096",36,4,"type_4","kr",18.6405436792833,8.54671089669693e-06,0.00475388941933861,31
"2097",37,4,"type_4","kx",0,1.26088439639995e-05,0.00475388941933861,31
"2098",38,4,"type_4","kx",9.64054367928331,1.26088439639995e-05,0.00475388941933861,31
"2099",39,4,"type_4","kx",11.6405436792833,1.31537290226796e-05,0.00475388941933861,31
"2100",40,4,"type_4","kx",19.6405436792833,1.31537290226796e-05,0.00475388941933861,31
"2101",41,5,"type_5","kr",0,0.000230539749259747,0.0055738027236004,31
"2102",42,5,"type_5","kr",6.64054367928331,0.000230539749259747,0.0055738027236004,31
"2103",43,5,"type_5","kr",8.64054367928331,0.000100216155510313,0.0055738027236004,31
"2104",44,5,"type_5","kr",10.6405436792833,0.000100216155510313,0.0055738027236004,31
"2105",45,5,"type_5","kr",12.6405436792833,8.52842879616438e-05,0.0055738027236004,31
"2106",46,5,"type_5","kr",18.6405436792833,8.52842879616438e-06,0.0055738027236004,31
"2107",47,5,"type_5","kx",0,1.5243346317374e-05,0.0055738027236004,31
"2108",48,5,"type_5","kx",9.64054367928331,1.5243346317374e-05,0.0055738027236004,31
"2109",49,5,"type_5","kx",11.6405436792833,1.56220421911635e-05,0.0055738027236004,31
