"","z","type","suf","id","rep"
"12836",-29,1,6.32444695244389e-10,64,4
"12837",-28,1,1.17722073278532e-09,64,4
"12838",-27,1,2.50388757671834e-09,64,4
"12839",-26,1,4.20539651011397e-09,64,4
"12840",-25,1,8.92879761053822e-09,64,4
"12841",-24,1,1.3738013463651e-08,64,4
"12842",-23,1,3.21494110266315e-08,64,4
"12843",-22,1,5.93707847819962e-08,64,4
"12844",-22,4,1.08166384250377e-05,64,4
"12845",-21,1,1.23804997453271e-07,64,4
"12846",-21,4,1.3367883612572e-05,64,4
"12847",-20,1,2.53971090442669e-07,64,4
"12848",-20,4,4.55850586015769e-05,64,4
"12849",-19,1,3.55282610120409e-07,64,4
"12850",-19,4,8.66184952404122e-05,64,4
"12851",-18,1,8.27572751983549e-07,64,4
"12852",-18,4,0.000117410184621301,64,4
"12853",-17,1,1.5915523484428e-06,64,4
"12854",-17,4,0.000339374747583422,64,4
"12855",-16,1,3.05795713558774e-06,64,4
"12856",-16,4,0.000682755465070763,64,4
"12857",-15,1,6.54387329989481e-06,64,4
"12858",-15,4,0.000969221990796734,64,4
"12859",-14,1,8.96889595028936e-06,64,4
"12860",-14,4,0.00155156875302275,64,4
"12861",-13,1,2.24299653307291e-05,64,4
"12862",-13,4,0.00212116477583828,64,4
"12863",-12,1,2.8358215468374e-05,64,4
"12864",-12,4,0.0029550417031575,64,4
"12865",-11,1,5.51649358141055e-05,64,4
"12866",-11,4,0.00479032144391215,64,4
"12867",-10,1,9.67259387399414e-05,64,4
"12868",-10,4,0.00814702735898933,64,4
"12869",-9,1,0.000133728756038559,64,4
"12870",-9,4,0.013094309826893,64,4
"12871",-8,1,0.000175747713633099,64,4
"12872",-8,2,0.00015310450004018,64,4
"12873",-8,4,0.0226644426411427,64,4
"12874",-7,1,0.000291319884225696,64,4
"12875",-7,2,0.000789344468921714,64,4
"12876",-7,4,0.0271365282503958,64,4
"12877",-6,1,0.00084641087452541,64,4
"12878",-6,2,0.00771330817922759,64,4
"12879",-6,4,0.0546016998173169,64,4
"12880",-5,1,0.00177874237749542,64,4
"12881",-5,2,0.0149400373628809,64,4
"12882",-5,4,0.0549193164419133,64,4
"12883",-4,1,0.00657693940490605,64,4
"12884",-4,2,0.0273162697929369,64,4
"12885",-4,4,0.0972384875207561,64,4
"12886",-3,1,0.0110723926401539,64,4
"12887",-3,2,0.137299810489429,64,4
"12888",-3,4,0.15351639405902,64,4
"12889",-2,1,0.0162508217841695,64,4
"12890",-2,2,0.240426231516631,64,4
"12891",-2,4,0.0890098118758146,64,4
"12892",-30,1,2.0923743467366e-09,64,5
"12893",-29,1,3.30291479400867e-09,64,5
"12894",-28,1,5.47406997830215e-09,64,5
"12895",-27,1,9.84067572409915e-09,64,5
"12896",-26,1,1.36954596292596e-08,64,5
"12897",-25,1,3.02228632074155e-08,64,5
"12898",-24,1,5.9177596748308e-08,64,5
"12899",-23,1,9.63896284543148e-08,64,5
"12900",-22,1,2.30917982678213e-07,64,5
"12901",-21,1,3.09536337004255e-07,64,5
"12902",-20,1,7.09924026380158e-07,64,5
"12903",-19,1,1.15235223793761e-06,64,5
"12904",-19,4,1.30559397511246e-05,64,5
"12905",-18,1,2.96265397011172e-06,64,5
"12906",-18,4,4.88138228555983e-05,64,5
"12907",-17,1,4.47685205353177e-06,64,5
"12908",-17,4,5.10899201423321e-05,64,5
"12909",-16,1,8.1574618937991e-06,64,5
"12910",-16,4,8.22995655262305e-05,64,5
"12911",-15,1,1.75971589075361e-05,64,5
"12912",-15,4,0.000122512595077079,64,5
"12913",-14,1,3.06372778219929e-05,64,5
"12914",-14,4,0.000446878151649482,64,5
"12915",-13,1,4.25820343728208e-05,64,5
"12916",-13,4,0.000505866443475233,64,5
"12917",-12,1,9.12393662680176e-05,64,5
"12918",-12,4,0.000929292336776289,64,5
"12919",-11,1,0.000144304561681019,64,5
"12920",-11,4,0.00166718546864852,64,5
"12921",-10,1,0.000207341960241492,64,5
"12922",-10,4,0.00301458795773711,64,5
"12923",-9,1,0.000391221471359531,64,5
"12924",-9,4,0.0044351429608849,64,5
"12925",-8,1,0.000424177623448643,64,5
"12926",-8,4,0.0104539630683651,64,5
"12927",-7,1,0.000706112714527974,64,5
"12928",-7,2,0.000737461019391755,64,5
"12929",-7,4,0.0157822640677096,64,5
"12930",-6,1,0.00142772076244044,64,5
"12931",-6,2,0.00816798235918915,64,5
"12932",-6,4,0.0337058199258055,64,5
"12933",-5,1,0.00291686154210382,64,5
"12934",-5,2,0.0176170276597591,64,5
"12935",-5,4,0.0505851888474844,64,5
"12936",-4,1,0.00744715078962008,64,5
"12937",-4,2,0.0548461990314285,64,5
"12938",-4,4,0.0924175489236126,64,5
"12939",-3,1,0.0166463881792161,64,5
"12940",-3,2,0.138828294391843,64,5
"12941",-3,4,0.147898100221605,64,5
"12942",-2,1,0.0166989476624404,64,5
