"","Cc","age","sam"
"3526",0.0898800099568501,0.8,41
"3527",0.0898800099568501,0.9,41
"3528",0.0898800099568501,1,41
"3529",0.130736888994352,1.1,41
"3530",0.130736888994352,1.2,41
"3531",0.130736888994352,1.3,41
"3532",0.130736888994352,1.4,41
"3533",0.171592766231778,1.5,41
"3534",0.171592766231778,1.6,41
"3535",0.171592766231778,1.7,41
"3536",0.212451630820003,1.8,41
"3537",0.212451630820003,1.9,41
"3538",0.212451630820003,2,41
"3539",0.25330669499608,2.1,41
"3540",0.25330669499608,2.2,41
"3541",0.25330669499608,2.3,41
"3542",0.25330669499608,2.4,41
"3543",0.294163109090272,2.5,41
"3544",0.294163109090272,2.6,41
"3545",0.294163109090272,2.7,41
"3546",0.335019659644648,2.8,41
"3547",0.335019659644648,2.9,41
"3548",0.335019659644648,3,41
"3549",0.335019659644648,3.1,41
"3550",0.37588254488184,3.2,41
"3551",0.37588254488184,3.3,41
"3552",0.37588254488184,3.4,41
"3553",0.416734523363295,3.5,41
"3554",0.416734523363295,3.6,41
"3555",0.455218774130519,3.7,41
"3556",0.496072454839392,3.8,41
"3557",0.496072454839392,3.9,41
"3558",0.496072454839392,4,41
"3559",0.534564162445098,4.1,41
"3560",0.613914867753089,4.2,41
"3561",0.613914867753089,4.3,41
"3562",0.613914867753089,4.4,41
"3563",0.731753462232952,4.5,41
"3564",0.731753462232952,4.6,41
"3565",0.786898030966144,4.7,41
"3566",0.827746993805791,4.8,41
"3567",0.904722131664228,4.9,41
"3568",0.959866260354485,5,41
"3569",0.959866260354485,5.1,41
"3570",1.13285026179274,5.2,41
"3571",1.18799909732658,5.3,41
"3572",1.18799909732658,5.4,41
"3573",1.32248343322684,5.5,41
"3574",1.41610776410518,5.6,41
"3575",1.41610776410518,5.7,41
"3576",1.47125077116636,5.8,41
"3577",1.60573657612252,5.9,41
"3578",1.6442306366394,6,41
"3579",1.73258852908203,6.1,41
"3580",1.91992206890102,6.2,41
"3581",1.97506559762734,6.3,41
"3582",2.01354901925452,6.4,41
"3583",2.19790391771845,6.5,41
"3584",2.34437800142274,6.6,41
"3585",2.34437800142274,6.7,41
"3586",2.43801220648195,6.8,41
"3587",2.66085952182332,6.9,41
"3588",2.66085952182332,7,41
"3589",2.7521838219298,7.1,41
"3590",2.90332363733608,7.2,41
"3591",2.96445960484556,7.3,41
"3592",3.05281376148818,7.4,41
"3593",3.2039594243739,7.5,41
"3594",3.25680851472348,7.6,41
"3595",3.25680851472348,7.7,41
"3596",3.44670774570359,7.8,41
"3597",3.48756775010142,7.9,41
"3598",3.54041061622896,8,41
"3599",3.54041061622896,8.1,41
"3600",3.72478278009372,8.2,41
"3601",3.72478278009372,8.3,41
"3602",3.72478278009372,8.4,41
"3603",3.83275581704323,8.5,41
"3604",3.9619695675953,8.6,41
"3605",3.9619695675953,8.7,41
"3606",4.01711610930992,8.8,41
"3607",4.13901486512861,8.9,41
"3608",0.0787817900856244,0.2,42
"3609",0.118743433799443,0.3,42
"3610",0.161678135856683,0.4,42
"3611",0.201335760768029,0.5,42
"3612",0.244256077021896,0.6,42
"3613",0.289864146230638,0.7,42
"3614",0.364643217899064,0.8,42
"3615",0.427003816552452,0.9,42
"3616",0.527759685607405,1,42
"3617",0.611107743162665,1.1,42
"3618",0.697508311339818,1.2,42
"3619",0.798387901287567,1.3,42
"3620",0.87008179377991,1.4,42
"3621",1.02233380695725,1.5,42
"3622",1.12153525025766,1.6,42
"3623",1.21696877434504,1.7,42
"3624",1.30886302622044,1.8,42
"3625",1.50552607678921,1.9,42
"3626",1.65938457933192,2,42
"3627",1.72720340009323,2.1,42
"3628",1.91062587282671,2.2,42
"3629",2.13242807135037,2.3,42
"3630",2.24191522410981,2.4,42
"3631",2.43557558544636,2.5,42
"3632",2.59250138583793,2.6,42
"3633",2.7429905104498,2.7,42
"3634",2.97991065877975,2.8,42
"3635",3.07522408021453,2.9,42
"3636",3.3359054629342,3,42
"3637",3.51577047037521,3.1,42
"3638",3.78782133712498,3.2,42
"3639",3.91804857170919,3.3,42
"3640",4.12684521845527,3.4,42
"3641",4.31295125437093,3.5,42
"3642",4.46697633222252,3.6,42
"3643",4.66769737954149,3.7,42
"3644",4.82813328512959,3.8,42
"3645",4.94672758737475,3.9,42
"3646",5.25510878703053,4,42
"3647",5.438319269263,4.1,42
"3648",5.64097526635848,4.2,42
"3649",5.87890426225678,4.3,42
"3650",6.09076776856547,4.4,42
"3651",6.261691859418,4.5,42
"3652",6.52425774227106,4.6,42
"3653",6.8099720143009,4.7,42
"3654",7.07619188450663,4.8,42
"3655",7.21873458818127,4.9,42
"3656",7.46616056978498,5,42
"3657",7.70864995764508,5.1,42
"3658",7.92787598199706,5.2,42
"3659",8.08211184390783,5.3,42
"3660",8.33471044417593,5.4,42
"3661",8.46761642706503,5.5,42
"3662",8.60925093450819,5.6,42
"3663",8.87398894023157,5.7,42
"3664",8.99263925736559,5.8,42
"3665",9.22632113265357,5.9,42
"3666",9.43060954544817,6,42
"3667",9.56629083258662,6.1,42
"3668",9.73275314077293,6.2,42
"3669",9.82093124260746,6.3,42
"3670",10.02221373803,6.4,42
"3671",10.1542620326999,6.5,42
"3672",10.2892569339112,6.6,42
"3673",10.435956551222,6.7,42
"3674",10.5260306382391,6.8,42
"3675",10.64041987294,6.9,42
"3676",10.7948756246637,7,42
"3677",10.9890444377977,7.1,42
"3678",11.1443937450686,7.2,42
"3679",11.2488582579262,7.3,42
"3680",11.3553073574242,7.4,42
"3681",11.4947092698044,7.5,42
"3682",11.6847815220191,7.6,42
"3683",11.7722883311741,7.7,42
"3684",12.034750270416,7.8,42
"3685",12.2049757330499,7.9,42
"3686",12.2910445136058,8,42
"3687",12.5397066198502,8.1,42
"3688",12.6904813701328,8.2,42
"3689",12.8983760432572,8.3,42
"3690",13.0143110443002,8.4,42
"3691",13.2382742254234,8.5,42
"3692",13.3537974376125,8.6,42
"3693",13.4668901492271,8.7,42
"3694",13.6461883239912,8.8,42
"3695",13.787980967871,8.9,42
"3696",0.0754403207696464,0.2,43
"3697",0.112896987952981,0.3,43
"3698",0.112896987952981,0.4,43
"3699",0.189966650306,0.5,43
"3700",0.215934159656914,0.6,43
"3701",0.25262888746284,0.7,43
"3702",0.275521796585879,0.8,43
"3703",0.318369687128027,0.9,43
"3704",0.350971144013,1,43
"3705",0.394059157137702,1.1,43
"3706",0.431231993247145,1.2,43
"3707",0.466008644365566,1.3,43
"3708",0.534524694797411,1.4,43
"3709",0.567740778703702,1.5,43
"3710",0.600306917759031,1.6,43
"3711",0.654280172485172,1.7,43
"3712",0.682726952545845,1.8,43
"3713",0.718341099086734,1.9,43
"3714",0.775732046336084,2,43
"3715",0.812144103125628,2.1,43
"3716",0.848091233906405,2.2,43
"3717",0.882091889265203,2.3,43
"3718",0.910340488545804,2.4,43
"3719",0.953453201278518,2.5,43
"3720",1.00713398894235,2.6,43
"3721",1.05930938880653,2.7,43
"3722",1.14333367743667,2.8,43
"3723",1.18583773488469,2.9,43
"3724",1.28429172146478,3,43
"3725",1.34308058836814,3.1,43
"3726",1.50556503149284,3.2,43
"3727",1.58398413852101,3.3,43
"3728",1.64730257895231,3.4,43
"3729",1.80839007401706,3.5,43
"3730",1.89108723732052,3.6,43
"3731",2.04387896787738,3.7,43
"3732",2.14233295532526,3.8,43
"3733",2.26838167867276,3.9,43
"3734",2.43495905199438,4,43
"3735",2.56805371597104,4.1,43
"3736",2.74536839176671,4.2,43
"3737",2.8812173510966,4.3,43
"3738",3.09159400636467,4.4,43
"3739",3.23758744761898,4.5,43
"3740",3.44515478094748,4.6,43
"3741",3.66490277646252,4.7,43
"3742",3.90443473180832,4.8,43
"3743",4.03327364531433,4.9,43
"3744",4.20602936969633,5,43
"3745",4.43550063880162,5.1,43
"3746",4.76359007981743,5.2,43
"3747",4.89888110664885,5.3,43
"3748",5.0536754230283,5.4,43
"3749",5.40520062240638,5.5,43
"3750",5.75719254276945,5.6,43
"3751",5.9658769369535,5.7,43
"3752",6.22969174041653,5.8,43
"3753",6.61323639506493,5.9,43
"3754",6.87929291021551,6,43
"3755",7.30080066187004,6.1,43
"3756",7.60690406485268,6.2,43
"3757",8.00932994352226,6.3,43
"3758",8.35281897672419,6.4,43
"3759",8.73899061575129,6.5,43
"3760",9.09842001902041,6.6,43
"3761",9.49622210882736,6.7,43
"3762",9.89251425284042,6.8,43
"3763",10.2550328000525,6.9,43
"3764",10.6211115685287,7,43
"3765",11.0688690141633,7.1,43
"3766",11.481880773689,7.2,43
"3767",11.8727016217757,7.3,43
"3768",12.2923362330353,7.4,43
"3769",12.5967128709424,7.5,43
"3770",13.062789831712,7.6,43
"3771",13.5396944981181,7.7,43
"3772",13.9129286371043,7.8,43
"3773",14.2903392220762,7.9,43
"3774",14.7021849523026,8,43
"3775",15.2406420643936,8.1,43
"3776",15.5304092684588,8.2,43
"3777",15.9270618777195,8.3,43
"3778",16.2569850865762,8.4,43
"3779",16.8038308555092,8.5,43
"3780",17.1519669166144,8.6,43
"3781",17.429359624435,8.7,43
"3782",17.7661566634564,8.8,43
"3783",18.1893515093072,8.9,43
"3784",0.0758528164892715,0.2,44
"3785",0.125496033990854,0.3,44
"3786",0.167553759985148,0.4,44
"3787",0.203781592792632,0.5,44
"3788",0.245508711804397,0.6,44
"3789",0.2894434436454,0.7,44
"3790",0.349284586703367,0.8,44
"3791",0.373641140648525,0.9,44
"3792",0.419896927619417,1,44
"3793",0.461686714149633,1.1,44
"3794",0.522543097578345,1.2,44
"3795",0.566903857949083,1.3,44
"3796",0.595237850758294,1.4,44
"3797",0.655563265838157,1.5,44
"3798",0.693321901083273,1.6,44
"3799",0.729900265682272,1.7,44
"3800",0.771557672222774,1.8,44
"3801",0.813962017113458,1.9,44
"3802",0.875756413774153,2,44
"3803",0.915829074730466,2.1,44
"3804",0.958644940599367,2.2,44
"3805",0.999724294700204,2.3,44
"3806",1.04275047531853,2.4,44
"3807",1.08583303056899,2.5,44
"3808",1.12379194215884,2.6,44
"3809",1.16328637798934,2.7,44
"3810",1.22120580656178,2.8,44
"3811",1.25773793368231,2.9,44
"3812",1.29639959012196,3,44
"3813",1.35798894431759,3.1,44
"3814",1.39948134425411,3.2,44
"3815",1.44080792577526,3.3,44
"3816",1.48400749609156,3.4,44
"3817",1.52104913206187,3.5,44
"3818",1.55608054792475,3.6,44
"3819",1.62159622721198,3.7,44
"3820",1.64208591953979,3.8,44
"3821",1.70439142897236,3.9,44
"3822",1.74326188531882,4,44
"3823",1.78633395507189,4.1,44
"3824",1.83142964282467,4.2,44
"3825",1.87069146417384,4.3,44
"3826",1.91154915943474,4.4,44
"3827",1.95480079975688,4.5,44
"3828",2.01177207135177,4.6,44
"3829",2.05302425166546,4.7,44
"3830",2.09509254222352,4.8,44
"3831",2.13558149510264,4.9,44
"3832",2.17750266526559,5,44
"3833",2.2174534194632,5.1,44
"3834",2.32895537960112,5.2,44
"3835",2.39583712364265,5.3,44
"3836",2.50212919032607,5.4,44
"3837",2.63538321286142,5.5,44
"3838",2.70132180397833,5.6,44
"3839",2.84996755893101,5.7,44
"3840",2.92966704264614,5.8,44
"3841",2.98639896036491,5.9,44
"3842",3.10501892990458,6,44
